id,name,Weighted Average Verification Age (Days),Merchants per Capita,Merchants per km²,Score,population,area_km2,total_merchants,weighted_total_merchants,up_to_date_elements,up_to_date_percent,Average Verification Age (Days),id (Latest Report),date,average_verification_date,grade,legacy_elements,outdated_elements,total_elements,total_elements_atms,total_elements_lightning,total_elements_lightning_contactless,total_elements_onchain
521,Paralelní Polis,334.59,0.0001944012,0.3441708611,0.7,1301432,735.1,253,174.57,188,69,321,167299,2025-01-20,2024-03-08 00:00:00,,0,84,272,19,80,22,67
10,African Bitcoiners,403.24,0.0000005927,0,1.5917339749097783,1393676444,,826,322.14,327,39,463,167386,2025-01-22,2023-10-18 00:00:00,,51,511,838,12,436,90,302
470,,513.67,0,0,0.3079395085066162,,,3,1.98,2,66,588,156147,2024-03-18,2023-06-15 00:00:00,,0,1,3,0,2,1,2
646,Vinte e Um,230.73,0,0.0017944493,0.7,,149349.44,268,225.12,228,84,206,167416,2025-01-23,2024-07-01 00:00:00,,2,42,270,2,237,144,151
72,Bitcoin Australia,411.67,0.0000052604,0.0000159586,0.17039800995024876,26043400,8584689.87,137,54.800000000000004,61,40,479,167400,2025-01-23,2023-10-02 00:00:00,,13,88,149,12,82,17,65
153,بيتكوين 21,310.0,0.0000000260,0.0000004862,0.2312351018461097,38401000,2056730.04,1,1.0,1,100,310,156232,2024-03-20,2024-03-19 00:00:00,,0,0,1,0,1,0,1
563,,0,0,0,0.3,,,0,0.0,0,0,None,153459,2024-01-29,,,0,0,0,0,0,0,0
662,,359.41,0,0,21.333737562189054,,,12299,6764.450000000001,7835,55,355,167394,2025-01-23,2024-02-03 00:00:00,,229,6188,14023,1724,9189,2115,8760
572,Satoshi Spritz,376.63,0.0000149864,0.0019279446,0.9840128634722596,58853482,457482.03,882,423.35999999999996,457,48,389,167408,2025-01-23,2023-12-31 00:00:00,,7,486,943,61,443,113,473
262,Einundzwanzig Deutschland,413.25,0.0000066551,0.0014659249,0.5906404230735853,83695430,379964.89,557,183.81,186,33,510,167431,2025-01-23,2023-09-01 00:00:00,,2,373,559,2,415,132,393
238,Dwadzieścia Jeden,344.69,0.0000034924,0.0004097929,0.4655291434062353,37796000,322113.9,132,106.92,234,81,340,167322,2025-01-20,2024-02-18 00:00:00,,2,54,288,156,39,10,263
739,,0,0,0,0.3,,,0,0.0,0,0,None,163716,2024-10-10,,,0,0,0,0,0,0,0
742,test area 2,175.0,0.0975609756,0,0.3198412698412698,123,,12,12.0,12,100,175,166736,2025-01-04,2024-08-01 00:00:00,,0,0,12,0,12,3,2
746,,0,0,0,0.3,,,0,0.0,0,0,None,164537,2024-10-31,,,0,0,0,0,0,0,0
316,Einundzwanzig Portugal,229.8,0.0000259750,0.0017304360,0.6681786906385938,10356117,155452.15,269,225.95999999999998,229,84,205,167418,2025-01-23,2024-07-02 00:00:00,,2,42,271,2,238,144,152
744,,400.71,0,0,0.32013888888888886,,,87,12.180000000000001,13,14,604,166679,2025-01-02,2023-05-30 00:00:00,,1,74,87,0,36,7,23
751,,242.0,0,0,0.3033068783068783,,,2,2.0,2,100,242,167000,2025-01-11,2024-05-26 00:00:00,,0,0,2,0,2,0,2
